elections_candidate	elections_inperson_count	elections_electronic_count	elections_total_count	elections_inperson_percent	elections_electronic_percent	elections_total_percent	elections_aik
Баташев Анатолий Геннадьевич	1667	2321	3988	1.59	1.9	1.76	210
Буткеев Владимир Анатольевич	7836	8246	16082	7.49	6.76	7.1	210
Коршунков Владислав Сергеевич	4081	5998	10079	3.9	4.92	4.45	210
Крапухин Алексей Игоревич	3301	3501	6802	3.16	2.87	3	210
Начевский Михаил Владимирович	6021	11177	17198	5.76	9.16	7.59	210
Романенко Роман Юрьевич	34927	56234	91161	33.39	46.09	40.23	210
Смитиенко Степан Борисович	839	1790	2629	0.8	1.47	1.16	210
Таранцов Михаил Александрович	34274	21751	56025	32.77	17.83	24.72	210
Таращанский Леонид Асирович	3035	2624	5659	2.9	2.15	2.5	210
Яцевский Артемий Андреевич	2065	2551	4616	1.97	2.09	2.04	210
